,id,@id,abutters,access,access:lanes,agricultural,agricultural:conditional,area,bicycle,bridge,bridge:movable,bridge:name,bridge:structure,bus,bus:lanes,change:lanes,check_date:footway:surface,check_date:lit,check_date:surface,construction,construction:note,covered,created_by,crossing,crossing:island,crossing:markings,crossing_ref,cutting,cycleway,cycleway:both,cycleway:left,cycleway:right,cycleway:surface,cycleway:surface:colour,cycleway:width,description,destination,destination:lanes,destination:ref,destination:ref:lanes,destination:ref:to,destination:ref:to:lanes,destination:symbol,destination:symbol:lanes,embankment,emergency,fixme,foot,footway,footway:surface,footway:surface:colour,hazmat:E,hgv,hgv:conditional,highway,horse,incline,indoor,informal,int_ref,junction,lane_markings,lanes,lanes:backward,lanes:bicycle,lanes:forward,layer,level,lit,loc_name,man_made,maxheight,maxspeed,maxspeed:type,maxweight:signed,motor_vehicle,name,narrow,noname,note,oneway,oneway:bicycle,parking:both,parking:both:fee,parking:both:orientation,parking:left,parking:left:orientation,parking:left:restriction,parking:right,parking:right:fee,parking:right:maxstay,parking:right:orientation,path,place,placement,playground,postal_code,priority_road,psv:lanes,ramp,ref,sac_scale,segregated,service,shoulder,sidewalk,sidewalk:both,sidewalk:both:surface,sidewalk:left:surface,sidewalk:right:surface,smoothness,source,source:cycleway:width,source:maxspeed,source:width,start_date,stroller,surface,surface:colour,tactile_paving,taxi:lanes,traffic_calming,trail_visibility,tree_lined,tunnel,tunnel:name,turn:lanes,turn:lanes:forward,vehicle,wheelchair,width,wikidata,wikipedia,geometry
21,way/4361874,way/4361874,,,||no,no,,,no,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,no,,,,,,,trunk,,,,,E 45,,,3,,,,-2,,yes,,,default,70,,,,Götatunneln,,,,yes,,no,,,,,,,,,,,,,,,,,,E 45,,,,,no,,,,,,,,,,,,asphalt,,,,,,,yes,Götatunneln,,,,,,,,"LINESTRING (11.966784 57.710918, 11.965442 57.710497, 11.965216 57.710409, 11.964996 57.710307, 11.964814 57.710202, 11.964644 57.710094, 11.964412 57.709914, 11.964297 57.709811, 11.964178 57.709662, 11.96349 57.708614, 11.962288 57.70601, 11.961998 57.705563, 11.961662 57.705169, 11.960912 57.704466, 11.960699 57.704258, 11.960461 57.704069, 11.959949 57.703788, 11.958938 57.703293, 11.958559 57.703115, 11.958253 57.702958, 11.957732 57.702787, 11.956943 57.702554, 11.956134 57.702327, 11.955224 57.702099)"
577,way/117090878,way/117090878,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,no,,,,no,,,trunk,no,,,,E 45,,,3,,,,-2,,yes,,,default,70,,,,Götatunneln,,,,yes,,no,,,,,,,,,,,,,,,,,,E 45,,,,,no,,,,,,,,,,,,asphalt,,,,,,,yes,Götatunneln,||slight_right,,,,,,,"LINESTRING (11.954407 57.701773, 11.955315 57.701984, 11.95624 57.702214, 11.957062 57.702442, 11.957851 57.702683, 11.958369 57.70285, 11.958784 57.703023, 11.959162 57.703209, 11.95994 57.703594, 11.960506 57.703874, 11.960718 57.704001, 11.960952 57.704192, 11.96117 57.704405, 11.961901 57.70512, 11.962261 57.705533, 11.962565 57.705965, 11.963816 57.70855, 11.964009 57.708868, 11.964486 57.709599, 11.964606 57.70976, 11.96476 57.709897, 11.96492 57.710024, 11.96514 57.710175, 11.965366 57.710291, 11.965598 57.710396, 11.965946 57.710511, 11.966928 57.710834)"
